track_name,artist_name,COMB,artist_pop,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
SNAP,Rosa Linn,SNAPRosa Linn,74,89,0.563,0.639,-8.205,1,0,0.0684,0.107,1.06E-05,0.446,0.518,169.985,4,179551
Baby Girl,Disco Lines,Baby GirlDisco Lines,59,76,0.73,0.907,-3.72,1,2,0.0606,0.0921,0.114,0.23,0.249,120.968,4,111074
Flex On My Ex (with Bankrol Hayden),KillBunk,Flex On My Ex (with Bankrol Hayden)KillBunk,60,57,0.619,0.707,-8.033,1,1,0.099,0.00601,0,0.0946,0.365,85.285,5,166805
House of Memories,Panic! At The Disco,House of MemoriesPanic! At The Disco,78,86,0.506,0.817,-5.051,0,11,0.0335,0.00272,0,0.0486,0.506,109.952,4,208707
The Plan,Arman Aydin,The PlanArman Aydin,64,58,0.812,0.653,-5.849,0,5,0.0361,0.0059,0,0.105,0.864,124.034,4,135484
Thousand Miles,The Kid LAROI,Thousand MilesThe Kid LAROI,83,84,0.376,0.657,-4.658,1,7,0.0768,0.0858,0,0.0884,0.203,80.565,4,164782
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,INDUSTRY BABY (feat. Jack Harlow)Lil Nas X,81,86,0.736,0.704,-7.409,0,3,0.0615,0.0203,0,0.0501,0.894,149.995,4,212000
Until I Found You,Stephen Sanchez,Until I Found YouStephen Sanchez,74,90,0.539,0.508,-6.05,1,10,0.0288,0.727,0,0.174,0.227,101.358,3,177720
Oh No,Kreepa,Oh NoKreepa,41,58,0.541,0.527,-7.438,0,11,0.147,0.00279,0.000509,0.286,0.429,176.123,4,166504
Cooped Up (with Roddy Ricch),Post Malone,Cooped Up (with Roddy Ricch)Post Malone,89,83,0.669,0.773,-5.619,1,0,0.153,0.038,0,0.113,0.377,93.923,4,185857
TO THE MOON,Jnr Choi,TO THE MOONJnr Choi,63,79,0.745,0.65,-11.814,1,2,0.346,0.0451,0.00758,0.111,0.386,144.047,4,152137
Dreamer,Astelle,DreamerAstelle,32,42,0.744,0.848,-5.073,0,9,0.0993,0.0811,1.12E-05,0.0889,0.823,150.056,4,178913
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Versionsped up nightcore,63,58,0.827,0.456,-9.246,1,5,0.0942,0.622,9.79E-05,0.109,0.689,114.269,4,135978
Pepas,YES YES,PepasYES YES,54,58,0.691,0.823,-4.974,1,7,0.0626,0.0235,0,0.0781,0.149,125.973,4,134330
Bam Bam (feat. Ed Sheeran),Camila Cabello,Bam Bam (feat. Ed Sheeran)Camila Cabello,82,83,0.756,0.697,-6.377,1,8,0.0401,0.182,0,0.333,0.956,94.996,4,206071
Fever - Remix,XY&O,Fever - RemixXY&O,31,0,0.782,0.586,-6.067,0,10,0.0567,0.0608,0.00409,0.115,0.724,120.018,4,156000
On My Way!,P.S.,On My Way!P.S.,39,54,0.797,0.666,-6.588,0,0,0.0363,0.167,0.000131,0.104,0.855,119.021,4,177080
Another Love,Tom Odell,Another LoveTom Odell,74,89,0.445,0.537,-8.532,0,4,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4,244360
Frozen,Madonna,FrozenMadonna,77,76,0.706,0.633,-9.584,1,1,0.0419,0.267,0.0192,0.175,0.375,110.005,4,120157
Riptide,Viva La Panda,RiptideViva La Panda,56,51,0.621,0.847,-6.108,1,3,0.278,0.0584,1.11E-06,0.109,0.373,101.996,4,172431
Down Under (feat. Colin Hay),Luude,Down Under (feat. Colin Hay)Luude,68,72,0.308,0.861,-4.112,0,11,0.172,0.012,0.00103,0.277,0.0386,171.966,4,158774
Meet Me At Our Spot,THE ANXIETY,Meet Me At Our SpotTHE ANXIETY,65,81,0.773,0.47,-7.93,1,2,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4,162680
